Trade ID,Trade Type,SubType,Status,Customer,Trade Date,Broker,Ccy,Amended Date,Start Date,Maturity Date,Description,Ccy Pair,Notional,Trade Entry Date,Buy / Sell,Put / Call,Strike,Equity Id,Portfolio,CE Type,Credit Entity,Purchase / Sale,Red Pair,Traded Spread,ClientRefID,Trade State,Fwd Price,Return Leg Price,Funding Leg Index,Funding Leg Rate,Funding Leg Spread,Leg2 Notional,Leg2 Ccy,FX Rate,Leg1 Index,Leg1 Rate,Leg1 Spread,Leg2 Index,Leg2 Rate,Leg2 Spread,Counterparty Trade Ref.ID,GTM Reference ID,Executing Broker,ID1,ID2,OMS ID,SEF ID,USI Issuer_USI Trade ID,Legal Entity,Accounting System ID,Version,IM Type,IM Amount,Equity Market Price,Stub Rate,Unit,Final Payment Date
410367,Exotic,ETRS,Verified,MSCSUS33XXX,5/13/2019,,USD,5/22/2019 7:11,3/20/2019,6/20/2024,EX/BUY IBOXIG,,2500000,5/20/2019,BUY,,0,IBOXIG,9577,,,,,,77015402,Terminated,0,291.8094,LIB3M,263.263,0,0,USD,0,,0,0,,0,0,,ca0e3edc7beb11e9824d0a4428260000,,,1887196733,,,,TROWUS33XXX,,2,,,287.5959,2.63263,0,5/21/2019
410367,Exotic,ETRS,Verified,MSCSUS33XXX,5/13/2019,,USD,5/22/2019 14:53,3/20/2019,6/20/2024,EX/BUY IBOXIG,,2500000,5/20/2019,BUY,,0,IBOXIG,9577,,,,,,77015401,Contract Create/New,0,291.8094,LIB3M,263.263,0,0,USD,0,,0,0,,0,0,,1aec97347b2611e9824d0a4428260000,,generatedbyCSM,1887196733,,,,TROWUS33XXX,,4,,,287.5959,2.63263,8567.24,6/22/2020
410367,Exotic,ETRS,Verified,MSCSUS33XXX,5/13/2019,,USD,5/22/2019 17:03,3/20/2019,6/20/2024,EX/BUY IBOXIG,,2500000,5/20/2019,BUY,,0,IBOXIG,9577,,,,,,77015400,Part Terminated,0,291.8094,LIB3M,263.263,0,0,USD,0,,0,0,,0,0,,91d82ce67cd411e9824d0a4428260000,,,1887196733,,,,TROWUS33XXX,,5,,,287.5959,2.63263,0,6/22/2020
410368,Exotic,ETRS,Verified,MSCSUS33XXX,5/13/2019,,USD,5/22/2019 7:11,3/20/2019,6/20/2024,EX/BUY IBOXIG,,2500000,5/20/2019,BUY,,0,IBOXIG,9539,,,,,,77015403,Terminated,0,291.8094,LIB3M,263.263,0,0,USD,0,,0,0,,0,0,,c9ff9ddc7beb11e9824d0a4428260000,,,1887196733,,,,TROWUS33XXX,,2,,,287.5959,2.63263,0,5/21/2019
